assunto,codigo,codigo_pai,dispositivo_legal,artigo,alteracoes,glossario,ods,data_publicacao,data_alteracao,data_inativacao,data_reativacao,nivel_visual,fonte,instancia,caminho_codigos,caminho_assuntos
DIREITO À EDUCAÇÃO,12775,,,,,,,,,,,1,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775,DIREITO À EDUCAÇÃO
Acesso,12795,12775,CF; LDB,,,Dispõe sobre o acesso à educação;,"ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:18:51,,,1,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795,DIREITO À EDUCAÇÃO > Acesso
Acesso sem Conclusão do Ensino Médio,12805,12795,LDB,"44, II",glossario;,Dispõe sobre o acesso ao ensino superior dos estudantes que ainda não concluiram o ensino médio,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:13:51,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12805,DIREITO À EDUCAÇÃO > Acesso > Acesso sem Conclusão do Ensino Médio
Ciência Sem Fronteiras,14177,12795,Lei 9394/1996; CF,"53, V e 208",,"Demandas em que se discute a exigência de apresentação do comprovante de conclusão do curso de ensino médio no ato da matrícula em Instituição de Ensino Superior, ou prazo para sua postergação.","ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2021-01-18 00:00:00,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 14177,DIREITO À EDUCAÇÃO > Acesso > Ciência Sem Fronteiras
Cobrança de Taxa de Matrícula,12808,12795,Lei 9394/1996. CF,"Art. 53, V; 206, IV e 208",glossario;,"Classificar demandas nas quais se discute a possibilidade de instituições públicas de ensino superior cobrarem taxas tais como taxa de matrícula, taxa para emissão de diploma, taxa para emissão de certificado de conclusão de curso e outras similares.","ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-01-18 13:09:35,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12808,DIREITO À EDUCAÇÃO > Acesso > Cobrança de Taxa de Matrícula
Convalidação de Estudos e Reconhecimento de Diploma,12806,12795,LDB,"art. 48, caput, §1º, §3º, 53, VI e 80, §2º",glossario;,Dispõe sobre o reconhecimento de diplomas que terão validade nacional como prova de formação em pós-graduação,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:13:20,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12806,DIREITO À EDUCAÇÃO > Acesso > Convalidação de Estudos e Reconhecimento de Diploma
Cota para Ingresso - Ações Afirmativas,12809,12795,Lei 12.711/2012,,glossario;,"Dispõe sobre a reserva de vagas para estudantes que cursaram integralmente o ensino médio em escolas públicas, oriundos de famílias com renda igual ou inferior a 1,5 salário-mínimos, aos autodeclarados pretos, pardos e indígenas e às pessoas com deficiência","ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:12:53,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12809,DIREITO À EDUCAÇÃO > Acesso > Cota para Ingresso - Ações Afirmativas
Itinerários Formativos,12810,12795,LDB,,glossario;,DDispõe sobre a composição de itinerários formativos,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:12:36,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12810,DIREITO À EDUCAÇÃO > Acesso > Itinerários Formativos
Formação Técnica e Profissional,12910,12810,CF; LDB,"36, V",glossario;,Dispõe sobre a formação técnica e profissional,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:12:05,,,3,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12810 > 12910,DIREITO À EDUCAÇÃO > Acesso > Itinerários Formativos > Formação Técnica e Profissional
Itinerários Formativos do Ensino Médio,12911,12810,LDB,Art. 36,glossario;,DDispõe sobre a composição de itinerários formativos na educação do ensino médio,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-10-01 00:00:00,2021-07-14 11:11:43,,,3,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12810 > 12911,DIREITO À EDUCAÇÃO > Acesso > Itinerários Formativos > Itinerários Formativos do Ensino Médio
Matrícula - Ausência de Pré-Requisito,14240,12795,Lei 9394/1996; CF,"53, V; 207",glossario;,"Demandas em que se discute a possibilidade de aluno de curso superior ser concomitantemente matriculado em disciplina com outra que lhe constitua pré-requisito, ou cursada em regime de dependência, com compatibilidade de horários e sem prejuízo à formação acadêmica.","ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2021-01-29 00:00:00,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 14240,DIREITO À EDUCAÇÃO > Acesso > Matrícula - Ausência de Pré-Requisito
Perda de Prazo de Matrícula,14179,12795,Lei 9394/1996; CF,"53, V; 208",,"Classificar demandas nas quais se discute a perda de prazo ao registro de matrícula em instituição de ensino superior (caso fortuito ou motivo de força maior, ou de insuficiência da divulgação da convocação, divulgação apenas por meio da rede mundial de computadores, etc).","ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2021-01-18 00:00:00,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 14179,DIREITO À EDUCAÇÃO > Acesso > Perda de Prazo de Matrícula
Processo Seletivo,12804,12795,LDB,"art. 44, II, §1º, §2º, §3º e 50 (LDB)",glossario;,Dispõe sobre o acesso à graduação por meio de classificação em processo seletivo,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:14:10,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12804,DIREITO À EDUCAÇÃO > Acesso > Processo Seletivo
Exames Oficiais para Ingresso - Enem,12902,12804,LDB/PNE,"art. 62, §6º (LDB); Meta 3.6, 7.7, 13.6 e 13.8",glossario;,"Dispõe sobre os exames oficiais para o ingresso no ensino superior, como o Exame Nacional do Ensino Médio","ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:14:32,,,3,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12804 > 12902,DIREITO À EDUCAÇÃO > Acesso > Processo Seletivo > Exames Oficiais para Ingresso - Enem
Acessibilidade,12903,12902,LDB; PNE,"art. 62, §6º (LDB); Meta 3.6, 7.7, 13.6 e 13.8",glossario;,"Dispõe sobre acessibilidade nos exames oficiais para o ingresso no ensino superior, como o Exame Nacional do Ensino Médio","ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:15:53,,,4,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12804 > 12902 > 12903,DIREITO À EDUCAÇÃO > Acesso > Processo Seletivo > Exames Oficiais para Ingresso - Enem > Acessibilidade
Outros,12904,12902,,,glossario;,"Dispõe sobre questões, diversas da acessibilidade e taxa de inscrição, referente aos exames oficiais para o ingresso no ensino superior, como o Exame Nacional do Ensino Médio","ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:15:59,,,4,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12804 > 12902 > 12904,DIREITO À EDUCAÇÃO > Acesso > Processo Seletivo > Exames Oficiais para Ingresso - Enem > Outros
Taxa de Inscrição,12912,12902,LDB,"art. 62, §6º (LDB); Meta 3.6, 7.7, 13.6 e 13.8",glossario;,"Dispõe sobre taxa de inscrição a ser paga nos exames oficiais para o ingresso no ensino superior, como o Exame Nacional do Ensino Médio","ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-10-01 00:00:00,,,,4,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12804 > 12902 > 12912,DIREITO À EDUCAÇÃO > Acesso > Processo Seletivo > Exames Oficiais para Ingresso - Enem > Taxa de Inscrição
Outros,12905,12804,,,,Dispõe sobre processos seletivos diversos de vestibulares e Exames Oficiais,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:14:40,,,3,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12804 > 12905,DIREITO À EDUCAÇÃO > Acesso > Processo Seletivo > Outros
Acessibilidade,12906,12905,,,glossario;,Dispõe sobre questões relativas à acessibilidade em processos seletivos diversos de Exames Oficiais e Vestibulares.,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:15:34,,,4,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12804 > 12905 > 12906,DIREITO À EDUCAÇÃO > Acesso > Processo Seletivo > Outros > Acessibilidade
Outros,12907,12905,,,glossario;,"Dispõe sobre questões, resssalvadas as referentes à acessibilidade e à taxa de inscrição, em processos seletivos diversos de Exames Oficiais e Vestibulares.","ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:15:41,,,4,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12804 > 12905 > 12907,DIREITO À EDUCAÇÃO > Acesso > Processo Seletivo > Outros > Outros
Taxa de Inscrição,12913,12905,Lei 12.799/2013,1º,,Dispõe sobre a taxa de inscrição nos processos seletivos diversos de vestibulares e Exames Oficiais,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-10-01 00:00:00,,,,4,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12804 > 12905 > 12913,DIREITO À EDUCAÇÃO > Acesso > Processo Seletivo > Outros > Taxa de Inscrição
Vestibular,12899,12804,LDB,"art. 44, II, §1º, §2º, §3º e 50 (LDB)",glossario;,Dispõe sobre os vestibulares.,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:14:51,,,3,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12804 > 12899,DIREITO À EDUCAÇÃO > Acesso > Processo Seletivo > Vestibular
Acessibilidade,12900,12899,LDB,"art. 44, II, §1º, §2º, §3º e 50 (LDB)",glossario;,Dispõe sobre questões de acessibilidade nos vestibulares.,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:15:13,,,4,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12804 > 12899 > 12900,DIREITO À EDUCAÇÃO > Acesso > Processo Seletivo > Vestibular > Acessibilidade
Outros,12901,12899,LDB,"art. 44, II, §1º, §2º, §3º e 50 (LDB)",glossario;,"Dispõe sobre questões, diversas da acessibilidade e taxa de inscrição, pertinentes aos vestibulares.","ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:15:23,,,4,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12804 > 12899 > 12901,DIREITO À EDUCAÇÃO > Acesso > Processo Seletivo > Vestibular > Outros
Taxa de Inscrição,12914,12899,Lei 12.799/2013,1º,glossario;,Dispõe sobre a taxa de inscrição nos vestibulares.,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-10-01 00:00:00,,,,4,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12804 > 12899 > 12914,DIREITO À EDUCAÇÃO > Acesso > Processo Seletivo > Vestibular > Taxa de Inscrição
Renovação de Matrícula - Inadimplência,14178,12795,Lei 9.870/1999,"5º, V e X",,"Classificar demandas nas quais se discute a repercussão no direito à matricula em instituição de ensino superior quando há inadimplência do aluno. Nessa seara são judicializadas questões como a inadimplência junto ao FIES, a possibilidade de renovação de matrícula após a quitação das parcelas vencidas, mesmo ultrapassado o período de matrícula, ou a repercussão no direito à matrícula com parcelas devidas em outros cursos na mesma instituição de ensino, dentre outras situações correlatas.","ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2021-01-18 00:00:00,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 14178,DIREITO À EDUCAÇÃO > Acesso > Renovação de Matrícula - Inadimplência
Transferência Discente,12807,12795,,,glossario;,Dispõe sobre a questão de transferência discente.,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:16:40,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12807,DIREITO À EDUCAÇÃO > Acesso > Transferência Discente
Militar,12908,12807,LDB,"49, parágrafo único",glossario;,"Dispõe sobre a transferência de militar estudante, quando sua remoção/transferência de ofício acarretar mudança de domicílio","ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:16:47,,,3,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12807 > 12908,DIREITO À EDUCAÇÃO > Acesso > Transferência Discente > Militar
Outras,12909,12807,LDB,49,glossario;,"Dispõe sobre a transferência de alunos regulares para cursos afins em instituições de educação superior, mediante processo seletivo e desde que haja vagas","ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:16:55,,,3,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12807 > 12909,DIREITO À EDUCAÇÃO > Acesso > Transferência Discente > Outras
Vaga,12803,12795,CF; LDB; PNE,"art. 208, I (CF); art. 3º, I, 4º, VII e 37, §1º e §2º (LDB); Meta 10 (PNE)",glossario;,Dispõe sobre a oferta de vagas e acesso na Educação Básica,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:17:06,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12803,DIREITO À EDUCAÇÃO > Acesso > Vaga
Acesso Próximo do Domicílio,12895,12803,LDB,"37, § 1º",glossario;,Dispõe sobre a oferta de vagas em estabelecimentos de ensino próximos à residência do educando,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:17:18,,,3,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12803 > 12895,DIREITO À EDUCAÇÃO > Acesso > Vaga > Acesso Próximo do Domicílio
Ausência de Vaga,12893,12803,"CF, LDB","art. 208, §2° e 211, §2° (CF); art. 4°, IV e 11, V (LDB)",,Dispõe sobre a obrigação do Poder Público em oferecer vaga de Educação Básica.,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:17:28,,,3,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12803 > 12893,DIREITO À EDUCAÇÃO > Acesso > Vaga > Ausência de Vaga
Corte Etário,12894,12803,"CF, LDB","art. 208, IV (CF); art. 4°, II, art. 30, II, art. 24, II, 32, caput (LDB)",,"Dispõe sobre a idade mínima de ingresso na Pré-Escola e Ensino Fundamental,","ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:17:38,,,3,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12803 > 12894,DIREITO À EDUCAÇÃO > Acesso > Vaga > Corte Etário
Matrícula de Irmãos na Mesma Escola,12896,12803,LDB; ECA,"art. 12, VI (LDB); art. 53, V (ECA)",,Dispõe sobre a prioridade de matrícula de irmãos na mesma escola.,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:18:05,,,3,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12803 > 12896,DIREITO À EDUCAÇÃO > Acesso > Vaga > Matrícula de Irmãos na Mesma Escola
Prioridade de Matrícula para Alunos com Deficiência,12897,12803,LDB; Estatuto da Pessoa com Deficiência,"art. 58, art. 60, § único (LDB); art. 8º (Lei 13.146/15)",,Dispõe sobre a prioridade de matrícula de pessoa com deficiência,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:18:32,,,3,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12795 > 12803 > 12897,DIREITO À EDUCAÇÃO > Acesso > Vaga > Prioridade de Matrícula para Alunos com Deficiência
Avaliação e Controle,12798,12775,LDB,"9º, VIII e IX",glossario;,Dispõe sobre o processo nacional de avaliação e controle das instituições de educação superior,"ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:19:16,,,1,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12798,DIREITO À EDUCAÇÃO > Avaliação e Controle
Autorização de Funcionamento/Fiscalização de Estabelecimentos de Ensino,12814,12798,CF; LDB; PNE,"art. 206, VI (CF); art. 3º, VIII e 14 (LDB), 7º, II (PNE)",glossario;,Dispõe sobre autorização de funcionamento e avaliação de qualidade do ensino,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:20:51,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12798 > 12814,DIREITO À EDUCAÇÃO > Avaliação e Controle > Autorização de Funcionamento/Fiscalização de Estabelecimentos de Ensino
Autorização e Reconhecimento de Cursos,12811,12798,LDB,"9º, IX e 46",glossario;,Dispõe sobre autorização e o reconhecimento de cursos de ensino superior,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:21:12,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12798 > 12811,DIREITO À EDUCAÇÃO > Avaliação e Controle > Autorização e Reconhecimento de Cursos
Credenciamento e Recredenciamento,12812,12798,LDB,46,glossario;,Dispõe sobre o credenciamento de instituições de educação superior,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:21:33,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12798 > 12812,DIREITO À EDUCAÇÃO > Avaliação e Controle > Credenciamento e Recredenciamento
Enade,12813,12798,Lei 10.861/2004,5º,glossario;,Dispõe sobre a aplicação do ENADE como avaliação do desempenho dos estudantes dos cursos de graduação,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:21:43,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12798 > 12813,DIREITO À EDUCAÇÃO > Avaliação e Controle > Enade
Educação Básica,12793,12775,,,adicionado este ramo da justiça;,,,2020-09-23 00:00:00,2021-07-14 11:21:54,,,1,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12793,DIREITO À EDUCAÇÃO > Educação Básica
Educação Fundamental Regular - Anos Finais,12816,12793,,,,Assunto complementar de uso obrigatório em demandas envolvendo os anos finais da Educação Fundamental regular.,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:22:29,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12793 > 12816,DIREITO À EDUCAÇÃO > Educação Básica > Educação Fundamental Regular - Anos Finais
Educação Fundamental Regular - Anos Iniciais,12817,12793,,,,Assunto complementar de uso obrigatório em demandas envolvendo os anos iniciais da Educação Fundamental regular.,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:22:52,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12793 > 12817,DIREITO À EDUCAÇÃO > Educação Básica > Educação Fundamental Regular - Anos Iniciais
Educação Infantil - Creche,12818,12793,,,,Assunto complementar de uso obrigatório em demandas envolvendo o ensino em creche.,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:23:09,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12793 > 12818,DIREITO À EDUCAÇÃO > Educação Básica > Educação Infantil - Creche
Educação Infantil - Pré-Escola,12819,12793,,,,Assunto complementar de uso obrigatório em demandas envolvendo o ensino em pré-escola.,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:23:25,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12793 > 12819,DIREITO À EDUCAÇÃO > Educação Básica > Educação Infantil - Pré-Escola
EJA - Ensino Fundamental - Anos Finais,12822,12793,,,,Assunto complementar de uso obrigatório em demandas envolvendo os anos finais da Educação Fundamental de Jovens e Adultos (EJA).,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:23:47,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12793 > 12822,DIREITO À EDUCAÇÃO > Educação Básica > EJA - Ensino Fundamental - Anos Finais
EJA - Ensino Fundamental - Anos Iniciais,12821,12793,,,,Assunto complementar de uso obrigatório em demandas envolvendo os anos iniciais da Educação Fundamental de Jovens e Adultos (EJA).,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:24:02,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12793 > 12821,DIREITO À EDUCAÇÃO > Educação Básica > EJA - Ensino Fundamental - Anos Iniciais
EJA - Ensino Médio,12820,12793,,,,Assunto complementar de uso obrigatório em demandas envolvendo o Ensino Médio de Jovens e Adultos (EJA).,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:24:16,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12793 > 12820,DIREITO À EDUCAÇÃO > Educação Básica > EJA - Ensino Médio
Ensino Médio Regular,12815,12793,,,,Assunto complementar de uso obrigatório em demandas envolvendo o Ensino Médio Regular.,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:24:27,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12793 > 12815,DIREITO À EDUCAÇÃO > Educação Básica > Ensino Médio Regular
Ensino Noturno,12826,12793,,,,Assunto complementar de uso obrigatório em demandas envolvendo a educação básica oferecida em período noturno.,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:24:36,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12793 > 12826,DIREITO À EDUCAÇÃO > Educação Básica > Ensino Noturno
Indígenas,12824,12793,,,,Assunto complementar de uso obrigatório em demandas envolvendo a educação básica de indígenas,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:24:45,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12793 > 12824,DIREITO À EDUCAÇÃO > Educação Básica > Indígenas
Quilombolas,12825,12793,,,,Assunto complementar de uso obrigatório em demandas envolvendo a educação básica de quilombolas.,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:24:55,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12793 > 12825,DIREITO À EDUCAÇÃO > Educação Básica > Quilombolas
Sistema Prisional,12915,12793,,,,Assunto complementar de uso obrigatório em demandas envolvendo a educação básica no sistema prisional.,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-10-01 00:00:00,,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12793 > 12915,DIREITO À EDUCAÇÃO > Educação Básica > Sistema Prisional
Sistema Socioeducativo,12823,12793,,,,Assunto complementar de uso obrigatório em demandas envolvendo a educação básica no sistema socioeducativo.,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:25:14,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12793 > 12823,DIREITO À EDUCAÇÃO > Educação Básica > Sistema Socioeducativo
Educação Especial,12796,12775,LDB,"art. 4º, III, art. 58",,Conceitua o que é educação especial.,"ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:25:27,,,1,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12796,DIREITO À EDUCAÇÃO > Educação Especial
Acessibilidade Física,12830,12796,PNE,"Meta 1, Estratégias 1.5 e 1.6, Meta 7, Estratégia 7.18",glossario;,Dispõe sobre a acessibilidade física aos locais de ensino,"ODS 4 - Educação de qualidade; ODS 16 - Paz, justiça e instituições eficazes",2020-09-23 00:00:00,2021-07-14 11:25:42,,,2,78_Tabela_Assuntos_Justica_Federal_1_Grau.xls,Justiça Federal 1º Grau,12775 > 12796 > 12830,DIREITO À EDUCAÇÃO > Educação Especial > Acessibilidade Física
